appliance,frequency,algorithms,f.score,mne,rms

Fridge,1,FHMM,0.506962205172,0.442361636486,25.7569265382
Shower,1,FHMM,1.0,0.00808421572003,2.20281484883
Air-conditioner,1,FHMM,0.500065112645,0.390363015625,100.330812839
Fridge,1,CO,0.939325842697,0.0890904481886,7.70746540369
Shower,1,CO,1.0,0.00722981295954,1.25892436727
Air-conditioner,1,CO,0.992654774397,0.0667425187269,18.8012213393
Fridge,2,FHMM,0.504667609618,0.437674532213,25.6404514553
Shower,2,FHMM,1.0,0.00988433188435,2.40006312927
Air-conditioner,2,FHMM,0.500065112645,0.388847697737,99.2390454056
Fridge,2,CO,0.946902654867,0.099449887173,8.45513267686
Shower,2,CO,1.0,0.0378496723928,9.33200689122
Air-conditioner,2,CO,0.887601390498,0.0712119135824,20.1281899503
Fridge,4,FHMM,0.500140173816,0.435396402905,25.6150211272
Shower,4,FHMM,1.0,0.00808421572003,2.20281484883
Air-conditioner,4,FHMM,0.500065112645,0.388783251364,97.7373396552
Fridge,4,CO,0.854330708661,0.285144432919,16.2696770045
Shower,4,CO,1.0,0.428170520815,64.2362032373
Air-conditioner,4,CO,0.875436554133,0.198967305414,66.8177189286
Fridge,8,FHMM,0.489795918367,0.430846827532,25.0509551317
Shower,8,FHMM,1.0,0.0165158571735,3.61803238411
Air-conditioner,8,FHMM,0.500065112645,0.391049560131,95.6847503084
Fridge,8,CO,0.784951230841,0.210047555198,12.1958032715
Shower,8,CO,1.0,0.0169642825601,6.38429082849
Air-conditioner,8,CO,0.923766816143,0.111730192752,24.0926873098
Fridge,16,FHMM,0.477326968974,0.431210704554,24.2926658398
Shower,16,FHMM,1.0,0.0165158571735,3.61803238411
Air-conditioner,16,FHMM,0.500065112645,0.409813884464,98.1124294922
Fridge,16,CO,0.667484662577,0.349452811491,18.1572431654
Shower,16,CO,1.0,0.0169499632029,6.37554669496
Air-conditioner,16,CO,0.928870292887,0.189827813486,38.414871939
Fridge,32,FHMM,0.471703079758,0.465119065895,25.010775734
Shower,32,FHMM,1.0,0.0426551257369,2.35120613708
Air-conditioner,32,FHMM,0.500065112645,0.472501691291,116.180563912
Fridge,32,CO,0.420818257723,0.494404135977,24.7231269557
Shower,32,CO,1.0,0.167508668713,56.1781144711
Air-conditioner,32,CO,0.678191489362,0.381945953928,99.9727666659
